h_ff_val	real_val	problemName	count
17	26	pfile10	90
17	27	pfile10	11
16	25	pfile10	41
27	22	pfile10	1
16	19	pfile10	4491
28	31	pfile10	1
20	17	pfile10	1897
16	18	pfile10	6423
17	16	pfile10	14937
16	16	pfile10	14386
16	17	pfile10	11732
28	23	pfile10	2
24	34	pfile10	1
20	31	pfile10	9
16	21	pfile10	486
25	20	pfile10	13
24	32	pfile10	10
18	16	pfile10	5929
21	32	pfile10	2
29	28	pfile10	4
28	32	pfile10	11
16	23	pfile10	49
30	30	pfile10	1
24	19	pfile10	3
29	32	pfile10	4
16	24	pfile10	36
16	22	pfile10	112
16	26	pfile10	3
19	31	pfile10	1
20	32	pfile10	4
15	17	pfile10	4154
15	15	pfile10	10172
16	15	pfile10	10861
17	15	pfile10	4131
19	16	pfile10	1255
21	17	pfile10	177
15	16	pfile10	8747
15	19	pfile10	782
15	18	pfile10	2400
15	24	pfile10	21
15	14	pfile10	12213
16	14	pfile10	4846
18	15	pfile10	732
14	14	pfile10	10780
20	16	pfile10	100
14	16	pfile10	3750
15	21	pfile10	32
14	15	pfile10	7722
15	22	pfile10	7
14	18	pfile10	616
15	20	pfile10	142
15	23	pfile10	15
14	17	pfile10	1869
15	13	pfile10	5642
17	14	pfile10	705
13	13	pfile10	12432
14	13	pfile10	12312
13	15	pfile10	3720
13	16	pfile10	1671
13	14	pfile10	7606
13	17	pfile10	715
14	20	pfile10	8
14	21	pfile10	6
14	19	pfile10	15
15	25	pfile10	2
19	15	pfile10	24
14	22	pfile10	5
12	12	pfile10	13668
13	12	pfile10	10053
18	14	pfile10	39
16	13	pfile10	642
14	12	pfile10	5438
12	14	pfile10	3959
12	15	pfile10	1500
12	13	pfile10	7444
13	11	pfile10	4462
11	11	pfile10	14522
12	16	pfile10	610
13	18	pfile10	13
15	12	pfile10	483
11	13	pfile10	3863
11	14	pfile10	1535
11	12	pfile10	6484
23	18	pfile10	1
13	22	pfile10	1
12	11	pfile10	7711
12	10	pfile10	3130
14	11	pfile10	282
10	10	pfile10	13246
9	9	pfile10	7637
11	10	pfile10	5089
10	11	pfile10	4393
10	13	pfile10	1238
11	17	pfile10	1
10	12	pfile10	2427
8	8	pfile10	2400
10	9	pfile10	2166
9	10	pfile10	2246
9	12	pfile10	566
11	9	pfile10	1358
13	10	pfile10	129
9	11	pfile10	768
11	15	pfile10	476
10	8	pfile10	323
12	9	pfile10	40
9	8	pfile10	391
10	14	pfile10	300
7	7	pfile10	1032
8	10	pfile10	179
8	11	pfile10	115
8	9	pfile10	646
8	7	pfile10	92
9	7	pfile10	109
11	8	pfile10	6
9	13	pfile10	85
6	6	pfile10	827
7	8	pfile10	138
7	9	pfile10	66
7	10	pfile10	22
7	6	pfile10	34
8	6	pfile10	35
10	7	pfile10	4
5	5	pfile10	666
8	12	pfile10	1
6	7	pfile10	94
6	9	pfile10	8
6	8	pfile10	32
17	13	pfile10	45
4	4	pfile10	530
6	5	pfile10	18
5	6	pfile10	46
5	8	pfile10	2
5	7	pfile10	18
13	20	pfile10	3
13	21	pfile10	4
19	14	pfile10	2
12	17	pfile10	6
16	12	pfile10	15
3	3	pfile10	371
4	7	pfile10	2
5	4	pfile10	12
4	5	pfile10	5
12	19	pfile10	4
13	19	pfile10	2
12	20	pfile10	2
18	13	pfile10	2
2	2	pfile10	175
3	6	pfile10	2
4	3	pfile10	4
4	6	pfile10	8
12	18	pfile10	2
11	18	pfile10	1
11	16	pfile10	2
1	1	pfile10	111
9	14	pfile10	2
10	15	pfile10	1
0	0	pfile10	4
10	16	pfile10	1
16	15	pfile11	33914
13	14	pfile11	62684
15	14	pfile11	40752
16	14	pfile11	16336
15	13	pfile11	15375
14	13	pfile11	39012
14	14	pfile11	62232
13	13	pfile11	57960
14	15	pfile11	66029
15	15	pfile11	58129
16	16	pfile11	43943
13	15	pfile11	44138
15	16	pfile11	55824
12	15	pfile11	16126
14	17	pfile11	19776
14	16	pfile11	44091
14	12	pfile11	10560
12	13	pfile11	55062
17	15	pfile11	13475
16	13	pfile11	2148
12	12	pfile11	52803
13	12	pfile11	32492
13	16	pfile11	20202
12	14	pfile11	35893
17	16	pfile11	22160
15	18	pfile11	15898
11	13	pfile11	30602
16	17	pfile11	39724
12	16	pfile11	5631
15	17	pfile11	34604
17	14	pfile11	2147
13	17	pfile11	6987
17	17	pfile11	27459
18	17	pfile11	11197
18	15	pfile11	1391
18	16	pfile11	7348
12	18	pfile11	247
14	18	pfile11	7333
16	18	pfile11	24303
11	11	pfile11	64502
11	12	pfile11	52114
12	17	pfile11	1364
12	11	pfile11	33542
15	12	pfile11	1767
14	11	pfile11	1717
11	14	pfile11	12212
10	13	pfile11	9312
13	11	pfile11	10132
10	12	pfile11	24905
17	18	pfile11	22109
16	19	pfile11	9229
17	19	pfile11	12434
15	19	pfile11	5122
11	15	pfile11	3415
18	18	pfile11	11880
10	11	pfile11	50949
13	18	pfile11	1789
19	17	pfile11	2823
19	18	pfile11	3719
18	19	pfile11	8272
11	10	pfile11	33694
14	19	pfile11	1122
10	14	pfile11	2336
19	16	pfile11	683
9	12	pfile11	6583
9	13	pfile11	1625
17	20	pfile11	4254
16	20	pfile11	2595
18	20	pfile11	3648
10	10	pfile11	75482
17	13	pfile11	154
12	10	pfile11	9829
20	18	pfile11	758
13	10	pfile11	780
17	21	pfile11	789
9	11	pfile11	17505
11	16	pfile11	764
18	21	pfile11	941
16	21	pfile11	204
15	21	pfile11	98
19	20	pfile11	1767
20	19	pfile11	862
19	19	pfile11	3089
13	19	pfile11	314
15	20	pfile11	803
20	20	pfile11	460
11	17	pfile11	118
14	20	pfile11	230
20	17	pfile11	184
21	19	pfile11	147
21	18	pfile11	49
19	15	pfile11	35
18	22	pfile11	135
19	21	pfile11	497
9	10	pfile11	41498
9	9	pfile11	61341
10	15	pfile11	419
10	9	pfile11	24997
11	18	pfile11	19
11	9	pfile11	8125
18	14	pfile11	57
8	11	pfile11	3485
17	22	pfile11	85
16	22	pfile11	33
14	21	pfile11	8
8	12	pfile11	540
18	23	pfile11	4
21	21	pfile11	26
21	20	pfile11	66
20	21	pfile11	166
20	22	pfile11	35
19	22	pfile11	126
13	20	pfile11	47
18	24	pfile11	1
17	23	pfile11	4
10	17	pfile11	12
10	16	pfile11	53
22	19	pfile11	9
15	22	pfile11	24
20	23	pfile11	2
12	9	pfile11	329
17	24	pfile11	1
10	8	pfile11	3846
8	8	pfile11	39167
8	9	pfile11	25205
9	14	pfile11	224
22	20	pfile11	3
16	12	pfile11	6
9	15	pfile11	31
9	8	pfile11	12634
12	19	pfile11	7
8	10	pfile11	10864
20	16	pfile11	10
9	16	pfile11	7
7	8	pfile11	14226
7	7	pfile11	36241
8	7	pfile11	8383
9	7	pfile11	2132
6	7	pfile11	9470
7	9	pfile11	6276
7	10	pfile11	1723
11	8	pfile11	27
8	13	pfile11	118
6	6	pfile11	37584
7	6	pfile11	5934
8	6	pfile11	1535
5	6	pfile11	4258
6	8	pfile11	3473
6	9	pfile11	1205
7	11	pfile11	268
5	5	pfile11	22945
5	7	pfile11	1123
6	5	pfile11	2360
4	5	pfile11	753
7	5	pfile11	543
6	10	pfile11	157
4	4	pfile11	3963
5	8	pfile11	488
4	6	pfile11	400
5	4	pfile11	130
7	12	pfile11	59
3	5	pfile11	24
3	3	pfile11	2195
3	4	pfile11	58
4	7	pfile11	31
6	11	pfile11	34
2	2	pfile11	1434
4	3	pfile11	31
3	6	pfile11	1
5	10	pfile11	21
6	12	pfile11	5
5	9	pfile11	36
7	13	pfile11	1
1	1	pfile11	830
4	8	pfile11	10
4	9	pfile11	2
0	0	pfile11	27
5	11	pfile11	3
20	21	pfile12	84762
20	20	pfile12	85379
22	21	pfile12	30763
23	22	pfile12	12940
21	22	pfile12	57532
23	21	pfile12	8451
22	22	pfile12	35317
20	22	pfile12	57894
21	21	pfile12	65813
19	20	pfile12	90062
19	21	pfile12	63503
20	23	pfile12	32171
21	23	pfile12	38171
22	23	pfile12	28868
23	23	pfile12	14043
19	19	pfile12	82266
22	20	pfile12	17070
21	20	pfile12	47386
19	22	pfile12	34606
20	24	pfile12	15876
19	23	pfile12	16914
20	25	pfile12	6827
21	25	pfile12	9943
24	22	pfile12	2618
24	21	pfile12	924
23	20	pfile12	2686
22	24	pfile12	19452
20	19	pfile12	50462
24	23	pfile12	3814
23	25	pfile12	7134
22	25	pfile12	10157
21	24	pfile12	21031
23	24	pfile12	11635
21	19	pfile12	20830
23	26	pfile12	3496
20	26	pfile12	2194
24	24	pfile12	4586
25	24	pfile12	1020
25	22	pfile12	251
18	20	pfile12	53330
18	19	pfile12	76905
22	19	pfile12	3605
18	18	pfile12	77256
19	24	pfile12	7049
17	20	pfile12	18069
18	21	pfile12	29443
19	25	pfile12	2787
19	18	pfile12	49140
18	22	pfile12	13385
25	23	pfile12	686
25	25	pfile12	1030
18	23	pfile12	5225
24	25	pfile12	3311
22	26	pfile12	4298
24	26	pfile12	1995
17	19	pfile12	38212
19	26	pfile12	739
17	18	pfile12	63978
17	21	pfile12	8158
22	27	pfile12	1662
23	27	pfile12	1547
21	26	pfile12	3497
20	27	pfile12	647
24	27	pfile12	957
21	27	pfile12	1182
18	24	pfile12	1671
20	18	pfile12	23363
23	19	pfile12	310
21	18	pfile12	4537
19	27	pfile12	206
22	28	pfile12	407
25	26	pfile12	695
22	18	pfile12	412
17	17	pfile12	67917
18	17	pfile12	45426
18	25	pfile12	588
20	28	pfile12	139
19	17	pfile12	23949
26	24	pfile12	152
24	20	pfile12	158
17	22	pfile12	2694
25	27	pfile12	392
17	23	pfile12	929
16	20	pfile12	3959
16	19	pfile12	11445
17	24	pfile12	278
26	27	pfile12	72
16	18	pfile12	25771
16	21	pfile12	1551
21	28	pfile12	244
17	25	pfile12	71
23	28	pfile12	486
26	23	pfile12	69
19	28	pfile12	63
17	16	pfile12	31067
20	17	pfile12	5619
21	29	pfile12	46
22	29	pfile12	81
25	29	pfile12	56
24	28	pfile12	374
25	28	pfile12	193
21	17	pfile12	551
16	17	pfile12	50792
20	29	pfile12	14
18	26	pfile12	161
24	29	pfile12	96
16	16	pfile12	50465
15	17	pfile12	18221
15	18	pfile12	6821
26	26	pfile12	142
26	28	pfile12	54
17	26	pfile12	13
26	25	pfile12	92
23	29	pfile12	129
15	19	pfile12	2166
16	22	pfile12	446
15	20	pfile12	580
25	21	pfile12	25
15	21	pfile12	156
18	16	pfile12	15744
16	23	pfile12	120
24	19	pfile12	21
19	30	pfile12	2
22	30	pfile12	13
19	16	pfile12	3993
26	30	pfile12	2
25	30	pfile12	9
18	27	pfile12	20
24	30	pfile12	11
20	16	pfile12	290
21	30	pfile12	6
23	30	pfile12	16
18	28	pfile12	9
19	29	pfile12	7
27	27	pfile12	6
27	26	pfile12	2
27	28	pfile12	1
15	16	pfile12	39459
26	29	pfile12	7
15	22	pfile12	38
16	15	pfile12	35001
14	16	pfile12	15989
21	31	pfile12	2
26	22	pfile12	4
15	15	pfile12	57891
14	19	pfile12	383
23	18	pfile12	9
14	18	pfile12	1468
24	31	pfile12	1
14	17	pfile12	5771
16	24	pfile12	21
17	15	pfile12	17679
17	27	pfile12	2
16	25	pfile12	1
18	15	pfile12	4919
14	15	pfile12	40767
16	14	pfile12	19601
19	15	pfile12	293
15	14	pfile12	37958
14	14	pfile12	64139
13	16	pfile12	4671
21	16	pfile12	3
13	15	pfile12	13244
13	17	pfile12	1239
15	23	pfile12	5
14	20	pfile12	81
22	17	pfile12	3
13	14	pfile12	34043
13	13	pfile12	55888
14	13	pfile12	32451
17	14	pfile12	5279
12	15	pfile12	2848
15	13	pfile12	17124
16	13	pfile12	3820
12	14	pfile12	7632
20	15	pfile12	3
18	14	pfile12	318
12	16	pfile12	710
13	12	pfile12	18188
12	12	pfile12	31701
12	13	pfile12	19630
15	24	pfile12	1
14	12	pfile12	9401
14	21	pfile12	10
15	12	pfile12	1756
13	18	pfile12	278
14	22	pfile12	1
17	13	pfile12	226
11	11	pfile12	12231
11	13	pfile12	2754
12	11	pfile12	6348
11	14	pfile12	976
11	12	pfile12	7100
11	10	pfile12	2021
14	11	pfile12	428
10	10	pfile12	4251
10	11	pfile12	1757
13	11	pfile12	3339
16	12	pfile12	99
11	15	pfile12	155
10	12	pfile12	562
12	10	pfile12	789
9	10	pfile12	813
9	9	pfile12	3081
10	9	pfile12	1140
10	13	pfile12	138
9	11	pfile12	153
9	8	pfile12	836
13	10	pfile12	43
8	8	pfile12	3171
11	9	pfile12	330
9	12	pfile12	23
8	10	pfile12	118
8	9	pfile12	640
8	7	pfile12	496
7	7	pfile12	2962
7	9	pfile12	99
8	11	pfile12	14
7	8	pfile12	500
12	9	pfile12	8
10	8	pfile12	152
13	19	pfile12	35
6	6	pfile12	2765
11	8	pfile12	2
7	6	pfile12	196
6	8	pfile12	65
6	7	pfile12	270
12	17	pfile12	177
9	7	pfile12	50
19	14	pfile12	1
12	18	pfile12	18
5	5	pfile12	2027
5	7	pfile12	31
8	6	pfile12	10
5	6	pfile12	86
6	5	pfile12	23
11	16	pfile12	44
15	11	pfile12	31
4	4	pfile12	262
7	10	pfile12	4
6	9	pfile12	4
4	6	pfile12	7
12	19	pfile12	1
11	17	pfile12	2
4	5	pfile12	3
3	3	pfile12	69
10	14	pfile12	3
10	16	pfile12	1
2	2	pfile12	46
1	1	pfile12	37
0	0	pfile12	2
24	27	pfile13	77154
26	27	pfile13	52289
26	26	pfile13	45511
27	27	pfile13	18863
25	26	pfile13	86319
27	28	pfile13	19538
28	28	pfile13	4104
26	29	pfile13	30530
24	26	pfile13	94874
25	25	pfile13	69699
27	25	pfile13	5840
25	27	pfile13	81396
25	29	pfile13	38147
26	25	pfile13	28957
27	26	pfile13	12655
25	28	pfile13	60979
23	28	pfile13	34201
23	27	pfile13	54392
23	24	pfile13	77480
26	28	pfile13	45651
24	28	pfile13	54815
24	25	pfile13	93904
24	29	pfile13	32843
23	26	pfile13	71121
26	30	pfile13	17438
28	29	pfile13	3279
27	29	pfile13	14776
24	24	pfile13	74812
28	27	pfile13	2681
25	24	pfile13	42119
25	30	pfile13	21854
27	32	pfile13	2232
26	24	pfile13	12312
27	30	pfile13	9283
22	26	pfile13	40702
23	30	pfile13	7332
28	25	pfile13	374
27	24	pfile13	1311
26	31	pfile13	9091
28	30	pfile13	2642
24	30	pfile13	16204
22	24	pfile13	54160
22	25	pfile13	48774
23	23	pfile13	64641
25	23	pfile13	17873
23	25	pfile13	79273
28	26	pfile13	1383
27	31	pfile13	4887
28	31	pfile13	1685
24	23	pfile13	46850
28	32	pfile13	1100
26	32	pfile13	3732
25	32	pfile13	3597
25	34	pfile13	461
23	29	pfile13	16671
24	31	pfile13	6048
25	31	pfile13	9987
22	27	pfile13	24155
22	28	pfile13	12299
26	23	pfile13	2702
22	23	pfile13	54343
22	29	pfile13	5582
28	24	pfile13	56
26	34	pfile13	367
25	33	pfile13	1035
26	33	pfile13	1404
23	32	pfile13	485
27	33	pfile13	688
27	34	pfile13	315
22	30	pfile13	1787
24	32	pfile13	1861
21	24	pfile13	26855
28	34	pfile13	66
23	31	pfile13	2056
21	26	pfile13	11837
21	28	pfile13	2521
21	27	pfile13	5327
21	25	pfile13	20186
24	22	pfile13	22006
22	22	pfile13	55102
23	22	pfile13	45875
29	28	pfile13	275
21	23	pfile13	30748
29	27	pfile13	134
29	30	pfile13	173
29	32	pfile13	110
21	22	pfile13	37082
27	23	pfile13	124
21	29	pfile13	988
25	22	pfile13	4280
26	35	pfile13	63
24	33	pfile13	522
22	31	pfile13	403
25	35	pfile13	22
24	35	pfile13	22
28	33	pfile13	308
20	24	pfile13	7157
29	29	pfile13	165
21	21	pfile13	34676
23	33	pfile13	92
23	35	pfile13	1
22	21	pfile13	31228
23	21	pfile13	17578
25	36	pfile13	24
20	23	pfile13	11397
22	32	pfile13	92
27	35	pfile13	43
29	31	pfile13	95
24	34	pfile13	74
20	25	pfile13	3430
20	26	pfile13	1838
24	21	pfile13	3671
29	25	pfile13	12
20	21	pfile13	19338
21	30	pfile13	221
20	22	pfile13	16015
26	22	pfile13	337
20	27	pfile13	594
29	26	pfile13	25
23	34	pfile13	14
25	21	pfile13	295
20	28	pfile13	250
19	24	pfile13	951
29	34	pfile13	9
20	29	pfile13	87
30	32	pfile13	2
27	36	pfile13	4
22	34	pfile13	1
29	33	pfile13	18
21	32	pfile13	2
21	20	pfile13	20697
21	31	pfile13	30
19	23	pfile13	2297
28	35	pfile13	4
20	20	pfile13	20921
22	20	pfile13	13371
23	20	pfile13	3064
28	36	pfile13	2
22	33	pfile13	7
19	25	pfile13	371
19	22	pfile13	3979
19	21	pfile13	6454
19	20	pfile13	10141
26	36	pfile13	1
19	26	pfile13	137
24	36	pfile13	1
18	23	pfile13	299
24	20	pfile13	308
28	23	pfile13	2
21	19	pfile13	8796
20	30	pfile13	18
20	19	pfile13	11610
22	19	pfile13	2186
19	19	pfile13	10736
19	27	pfile13	37
18	19	pfile13	4874
18	21	pfile13	1422
17	20	pfile13	640
18	20	pfile13	2637
29	24	pfile13	1
18	22	pfile13	768
19	18	pfile13	6299
17	18	pfile13	2682
17	21	pfile13	326
20	18	pfile13	5155
21	18	pfile13	1422
27	22	pfile13	7
18	18	pfile13	5619
23	19	pfile13	229
20	31	pfile13	4
16	19	pfile13	519
17	19	pfile13	1375
18	17	pfile13	4624
20	17	pfile13	1244
22	18	pfile13	109
19	17	pfile13	3682
17	22	pfile13	114
15	18	pfile13	457
16	18	pfile13	1312
17	17	pfile13	3866
18	24	pfile13	79
19	28	pfile13	11
17	23	pfile13	49
18	26	pfile13	7
18	25	pfile13	40
18	16	pfile13	2940
17	16	pfile13	4587
16	20	pfile13	204
16	21	pfile13	38
19	16	pfile13	906
16	16	pfile13	4483
16	17	pfile13	2246
15	17	pfile13	1347
21	17	pfile13	135
18	15	pfile13	709
20	16	pfile13	92
15	16	pfile13	2535
15	19	pfile13	195
14	17	pfile13	390
17	15	pfile13	3049
16	15	pfile13	5928
16	22	pfile13	14
17	24	pfile13	12
15	20	pfile13	23
15	15	pfile13	5042
18	27	pfile13	1
14	15	pfile13	2876
15	14	pfile13	7157
14	13	pfile13	7698
14	14	pfile13	5673
16	14	pfile13	3383
13	12	pfile13	7666
13	14	pfile13	3006
15	13	pfile13	3614
13	13	pfile13	6701
12	12	pfile13	8021
14	16	pfile13	1351
13	15	pfile13	1455
11	11	pfile13	10022
11	13	pfile13	1334
12	15	pfile13	269
12	13	pfile13	3105
14	20	pfile13	5
14	19	pfile13	27
14	18	pfile13	164
12	14	pfile13	1430
13	16	pfile13	297
12	11	pfile13	6674
17	14	pfile13	506
14	12	pfile13	3549
13	17	pfile13	157
10	11	pfile13	3301
10	10	pfile13	12557
10	12	pfile13	1346
11	12	pfile13	3266
11	10	pfile13	5046
11	14	pfile13	246
13	11	pfile13	2985
16	13	pfile13	395
19	15	pfile13	63
18	14	pfile13	35
15	12	pfile13	294
10	9	pfile13	3523
9	9	pfile13	14389
12	10	pfile13	2249
11	9	pfile13	1555
9	8	pfile13	2019
9	10	pfile13	3098
12	16	pfile13	148
13	19	pfile13	7
11	15	pfile13	104
12	17	pfile13	21
15	21	pfile13	7
14	21	pfile13	1
13	18	pfile13	41
10	14	pfile13	86
9	11	pfile13	1118
17	13	pfile13	30
14	11	pfile13	143
16	12	pfile13	21
15	11	pfile13	6
8	8	pfile13	14914
8	10	pfile13	682
9	12	pfile13	95
7	7	pfile13	15075
8	9	pfile13	2855
8	11	pfile13	95
10	13	pfile13	144
11	17	pfile13	2
8	7	pfile13	920
10	8	pfile13	924
9	13	pfile13	73
7	9	pfile13	260
7	8	pfile13	2488
13	10	pfile13	42
7	6	pfile13	353
9	7	pfile13	406
12	9	pfile13	9
8	6	pfile13	105
6	6	pfile13	14246
10	15	pfile13	3
7	10	pfile13	62
9	14	pfile13	4
9	15	pfile13	1
8	12	pfile13	40
8	13	pfile13	1
6	7	pfile13	1731
6	8	pfile13	97
5	5	pfile13	11550
13	20	pfile13	1
5	6	pfile13	642
5	7	pfile13	59
7	11	pfile13	13
6	9	pfile13	15
4	4	pfile13	8437
10	16	pfile13	1
16	24	pfile13	1
4	5	pfile13	108
4	6	pfile13	27
6	5	pfile13	85
12	18	pfile13	7
3	3	pfile13	5893
11	16	pfile13	5
6	10	pfile13	2
3	5	pfile13	9
2	2	pfile13	3343
5	8	pfile13	3
5	4	pfile13	17
3	4	pfile13	8
5	9	pfile13	3
4	8	pfile13	5
1	1	pfile13	1201
4	7	pfile13	5
3	6	pfile13	3
0	0	pfile13	56
17	25	pfile13	3
32	31	pfile14	93539
31	29	pfile14	74939
31	31	pfile14	99650
32	30	pfile14	73191
31	30	pfile14	114675
32	32	pfile14	72526
32	33	pfile14	40775
33	30	pfile14	18367
32	34	pfile14	17640
31	32	pfile14	60230
33	31	pfile14	37524
33	34	pfile14	12217
33	33	pfile14	24705
33	32	pfile14	35985
31	33	pfile14	27941
30	29	pfile14	93234
30	30	pfile14	92318
32	29	pfile14	28570
30	34	pfile14	4091
31	34	pfile14	10572
33	29	pfile14	3901
30	31	pfile14	61106
30	32	pfile14	29953
30	33	pfile14	12182
31	35	pfile14	3131
32	28	pfile14	5302
34	31	pfile14	4395
34	33	pfile14	4430
34	30	pfile14	1129
34	32	pfile14	5268
32	35	pfile14	6090
33	35	pfile14	4959
29	29	pfile14	64061
29	30	pfile14	46840
29	31	pfile14	25441
29	32	pfile14	10985
28	31	pfile14	6931
34	35	pfile14	1323
30	28	pfile14	49689
29	28	pfile14	58358
31	28	pfile14	24402
34	34	pfile14	2601
29	33	pfile14	4271
29	34	pfile14	1343
31	36	pfile14	646
32	36	pfile14	1391
28	30	pfile14	15630
30	35	pfile14	1118
35	31	pfile14	87
28	29	pfile14	28851
28	32	pfile14	2618
33	36	pfile14	1284
28	28	pfile14	41644
32	37	pfile14	223
32	38	pfile14	19
28	35	pfile14	63
27	31	pfile14	1103
28	34	pfile14	273
27	32	pfile14	371
29	35	pfile14	323
34	36	pfile14	441
29	27	pfile14	34145
28	27	pfile14	41821
30	27	pfile14	19001
31	27	pfile14	4692
33	37	pfile14	234
33	38	pfile14	29
27	29	pfile14	7989
27	30	pfile14	3221
28	33	pfile14	880
31	37	pfile14	122
33	28	pfile14	123
27	28	pfile14	16842
29	36	pfile14	63
35	32	pfile14	149
35	34	pfile14	84
30	36	pfile14	222
35	33	pfile14	151
34	37	pfile14	74
27	27	pfile14	28028
35	35	pfile14	64
32	39	pfile14	6
27	34	pfile14	12
27	33	pfile14	105
35	36	pfile14	42
35	37	pfile14	11
30	37	pfile14	26
30	38	pfile14	4
29	37	pfile14	4
26	30	pfile14	428
26	31	pfile14	127
27	35	pfile14	5
26	27	pfile14	10902
34	38	pfile14	7
31	38	pfile14	11
33	39	pfile14	3
28	26	pfile14	19122
27	26	pfile14	26286
28	36	pfile14	11
29	26	pfile14	11887
26	29	pfile14	1451
26	28	pfile14	4439
26	32	pfile14	27
32	27	pfile14	163
30	26	pfile14	2908
26	26	pfile14	17924
34	29	pfile14	8
28	25	pfile14	9683
27	25	pfile14	14369
26	25	pfile14	21178
31	26	pfile14	120
29	25	pfile14	2220
25	25	pfile14	13145
25	26	pfile14	6751
25	27	pfile14	2540
28	37	pfile14	1
25	29	pfile14	193
25	28	pfile14	813
26	33	pfile14	6
26	34	pfile14	1
25	24	pfile14	15809
26	24	pfile14	10054
27	24	pfile14	7300
28	24	pfile14	1923
24	24	pfile14	7827
24	26	pfile14	1354
25	30	pfile14	46
24	25	pfile14	3662
24	27	pfile14	368
24	28	pfile14	78
30	25	pfile14	53
24	23	pfile14	8092
23	25	pfile14	542
23	24	pfile14	1826
25	23	pfile14	4049
26	23	pfile14	2224
23	23	pfile14	4145
29	24	pfile14	67
27	23	pfile14	476
24	22	pfile14	1629
23	28	pfile14	4
24	29	pfile14	17
25	33	pfile14	1
23	27	pfile14	22
23	26	pfile14	162
23	22	pfile14	5014
22	23	pfile14	1481
22	22	pfile14	3848
25	22	pfile14	471
28	23	pfile14	24
26	22	pfile14	33
22	24	pfile14	391
24	30	pfile14	3
25	32	pfile14	1
22	25	pfile14	94
25	31	pfile14	2
22	26	pfile14	8
